1.0000,1.0000
1.0354,1.0444
1.0707,1.0886
1.1061,1.1325
1.1414,1.1758
1.1768,1.2184
1.2121,1.2602
1.2475,1.3009
1.2828,1.3403
1.3182,1.3784
1.3535,1.4150
1.3889,1.4500
1.4242,1.4831
1.4596,1.5142
1.4949,1.5433
1.5303,1.5702
1.5657,1.5948
1.6010,1.6170
1.6364,1.6367
1.6717,1.6539
1.7071,1.6684
1.7424,1.6803
1.7778,1.6894
1.8131,1.6957
1.8485,1.6992
1.8838,1.6999
1.9192,1.6978
1.9545,1.6929
1.9899,1.6852
2.0253,1.6747
2.0606,1.6615
2.0960,1.6456
2.1313,1.6272
2.1667,1.6062
2.2020,1.5828
2.2374,1.5570
2.2727,1.5290
2.3081,1.4989
2.3434,1.4667
2.3788,1.4327
2.4141,1.3969
2.4495,1.3596
2.4848,1.3208
2.5202,1.2807
2.5556,1.2394
2.5909,1.1972
2.6263,1.1542
2.6616,1.1106
2.6970,1.0665
2.7323,1.0222
2.7677,0.9778
2.8030,0.9335
2.8384,0.8894
2.8737,0.8458
2.9091,0.8028
2.9444,0.7606
2.9798,0.7193
3.0152,0.6792
3.0505,0.6404
3.0859,0.6031
3.1212,0.5673
3.1566,0.5333
3.1919,0.5011
3.2273,0.4710
3.2626,0.4430
3.2980,0.4172
3.3333,0.3938
3.3687,0.3728
3.4040,0.3544
3.4394,0.3385
3.4747,0.3253
3.5101,0.3148
3.5455,0.3071
3.5808,0.3022
3.6162,0.3001
3.6515,0.3008
3.6869,0.3043
3.7222,0.3106
3.7576,0.3197
3.7929,0.3316
3.8283,0.3461
3.8636,0.3633
3.8990,0.3830
3.9343,0.4052
3.9697,0.4298
4.0051,0.4567
4.0404,0.4858
4.0758,0.5169
4.1111,0.5500
4.1465,0.5850
4.1818,0.6216
4.2172,0.6597
4.2525,0.6991
4.2879,0.7398
4.3232,0.7816
4.3586,0.8242
4.3939,0.8675
4.4293,0.9114
4.4646,0.9556
4.5000,1.0000
